key,title,description,tags,user_label,policy_question,expected_tradeoff,demand_multiplier,renewables_capex_multiplier,fossil_fuel_price_multiplier,carbon_price_usd_per_tco2
new_links,New transmission links only,Adds candidate transmission links to the baseline model.,transmission,Grid reinforcement,What development and reliability gains come from transmission build-out alone?,Higher upfront investment with potential reliability and economic co-benefits.,1.0,1.0,1.0,10.0
2040_STEPS_old_gen_old_links,2040 STEPS (legacy generation + legacy links),STEPS demand projection with existing generation and existing transmission links.,steps|2040,,,,,,,
2040_AC_old_gen_old_links,2040 AC (legacy generation + legacy links),Announced Commitments demand projection with existing generation and existing transmission links.,ac|2040,,,,,,,
2040_STEPS_old_links,2040 STEPS (new generation + legacy links),STEPS demand projection with new generation options and existing transmission links.,steps|2040|generation,,,,,,,
2040_AC_old_links,2040 AC (new generation + legacy links),Announced Commitments demand projection with new generation options and existing transmission links.,ac|2040|generation,,,,,,,
2040_STEPS_old_gen,2040 STEPS (legacy generation + new links),STEPS demand projection with existing generation and new transmission links.,steps|2040|transmission,,,,,,,
2040_AC_old_gen,2040 AC (legacy generation + new links),Announced Commitments demand projection with existing generation and new transmission links.,ac|2040|transmission,,,,,,,
2040_STEPS,2040 STEPS (new generation + new links),STEPS demand projection with new generation options and new transmission links.,steps|2040|generation|transmission,,,,,,,
2040_AC,2040 AC (new generation + new links),Announced Commitments demand projection with new generation options and new transmission links.,ac|2040|generation|transmission,,,,,,,
2040_STEPS_policy,2040 STEPS policy,"STEPS demand projection with new generation, new links, and policy constraints.",steps|policy|2040,Policy push,"How do policy constraints shift cost, reliability, and development outcomes in STEPS?",Lower emissions and stronger development multipliers with higher system costs.,1.03,0.95,1.1,35.0
2040_AC_policy,2040 AC policy,"Announced Commitments demand projection with new generation, new links, and policy constraints.",ac|policy|2040,Policy push,"Under AC demand assumptions, what are the integrated impacts of policy levers?",Potentially lower fossil dependence and higher near-term transition costs.,1.02,0.95,1.1,30.0
