calliope_tech,carrier,tech_group,mario_sector,shock_channel,default_currency,notes
*,power,Transmission,Transmission_and_distribution,opex,USD_2019,default transmission mapping
*,power,Demand,Electricity_and_heat,opex,USD_2019,default demand-side mapping
*,power,Hydro,Electricity_and_heat,opex,USD_2019,default hydro mapping
*,power,VRE,Electricity_and_heat,opex,USD_2019,default variable renewables mapping
*,power,Fossil,Electricity_and_heat,fuel,USD_2019,default fossil mapping
*,power,Nuclear,Electricity_and_heat,opex,USD_2019,default nuclear mapping
*,power,Bioenergy,Electricity_and_heat,fuel,USD_2019,default bioenergy mapping
*,power,Geothermal,Electricity_and_heat,opex,USD_2019,default geothermal mapping
*,power,Storage,Electricity_and_heat,opex,USD_2019,default storage mapping
*,power,Other,Electricity_and_heat,opex,USD_2019,default fallback mapping
