tab,io_id,name,path_or_pattern,format,storage_scope,model_layer,direction,producer,consumer,required,generated_or_manual,owner_team,lifecycle,schema_or_key_columns,units,temporal_resolution,spatial_resolution,sector_technology_resolution,source_or_provenance,placeholder_status,validation_rules,interpretation_notes,quality_caveats,used_by_code,related_artifacts,example_values,update_frequency,expert_action_required
Inputs,IN-001,Integrated run request payload,POST /api/jobs request body,JSON API payload,API request,Scenario orchestration,input,Frontend integrated scenario definition form or API client,backend/api_service/jobs.py -> runner.run_scenario,Yes,User/API supplied,Product + backend,Per submitted run,"energy_scenario_key; mrio_scenario_id; target_year; run_profile; levers.{demand_multiplier,renewables_capex_multiplier,fossil_fuel_price_multiplier,carbon_price_usd_per_tco2}; strict_validation; allow_placeholder_data",dimensionless lever multipliers; USD/tCO2 carbon price; calendar year,single target_year plus run_profile time-slice behavior,scenario geography inherited from selected MRIO scenario and Calliope energy locations,energy pathway key plus MRIO report scenario id,UI selection plus user controls,None; live user input,Pydantic forbids extra fields; validates target_year 1900-2200; profile is dev/analysis/full; levers have numeric bounds; analysis/full force strict_validation true,"This is now the required upstream contract. It replaces the older single scenario field and builds one IntegratedScenarioPackage that feeds energy, bridge, and MRIO-direct layers.",Request validity does not guarantee scientific validity; strict_validation and allow_placeholder_data determine whether placeholder expert datasets can pass.,backend/api_service/schemas.py; backend/api_service/jobs.py; backend/api_service/runner.py,OUT-001; OUT-026; OUT-027,energy_scenario_key=new_links; mrio_scenario_id=ZA-S2; target_year=2030; run_profile=dev,Every run,Keep frontend and API clients aligned to this exact shape; do not reintroduce separate energy/MRIO run modes.
Inputs,IN-002,Integrated scenario catalog response consumed by UI,GET /api/scenarios,JSON API response,API response used as input by frontend,Scenario catalog,input,backend/api_service/scenarios.py; scenario_package.build_integrated_scenario_catalog,Frontend scenario setup flow,Yes,Generated at request time from repo inputs,Backend + product,"Dynamic catalog, deterministic for current repo inputs",schema_version; energy_scenarios[]; mrio_scenarios[]; target_years[]; geography_alignment_options[]; report.source_file; report.source_sha256; defaults,years; labels; metadata only,available target years parsed from report; default target_year 2030,MRIO geography codes; Calliope locations in mapping rows,energy scenario metadata and MRIO scenario summaries,Calliope overrides plus scenario metadata plus parsed report plus geography mapping,None; reports availability of scenario choices,"Must include valid energy_scenarios, MRIO scenarios, target years, defaults; report scenarios should include ZA-S1, ZA-S2, IN-S1, IN-S2, BR-S1, BR-S2, WF-S1, WF-S2, WM-S1, WM-S2",This is the single setup catalog for the app. It intentionally presents energy pathway and MRIO-direct report scenario as parts of one integrated scenario definition.,Catalog completeness depends on successful DOCX parsing and mapping table correctness.,backend/api_service/scenarios.py; backend/api_service/scenario_package.py; frontend/app.jsx,IN-003; IN-004; IN-005; IN-008; OUT-026,defaults.energy_scenario_key=new_links; defaults.mrio_scenario_id=ZA-S2,On UI load or refresh,Check scenario labels and defaults with product/design before external demos.
Inputs,IN-003,Energy modelling scenario report,Energy Modelling Scenario Report.docx,DOCX (ZIP/XML),repo_static external report,MRIO-direct scenario source,input,Scenario authors / analysts,backend/api_service/scenario_report.py parser,Yes,Manual expert-authored source document,Energy experts + MRIO experts,Source of truth until replaced by structured scenario database,"report tables and text parsed into scenario_id; geography; label; summary targets; target_years; shock_categories.{A/Z,E,Y}; source_notes; calibration_notes","scenario-specific percentages, targets, text assumptions",2030 and/or 2050 targets where present,"ZA, IN, BR, WF, WM report geographies; may be national or regional","MRIO sectors/parameters inferred from A/Z, E, Y shock guidance",Root repository document authored outside the app,May contain narrative assumptions not directly machine-executable,Parser must recover all 10 scenarios; source SHA256 cache invalidates when DOCX changes,The report provides MRIO-direct assumptions outside the energy model boundary. Parsed content should not be treated as solved energy output.,DOCX tables and prose can be ambiguous; parser extraction should be analyst-reviewed after report edits.,backend/api_service/scenario_report.py,IN-004; OUT-003; OUT-005; OUT-006,"ZA-S1, ZA-S2, IN-S1, IN-S2, BR-S1, BR-S2, WF-S1, WF-S2, WM-S1, WM-S2",When report changes,"Keep report structure table-like and explicit; if scenarios change, verify parser test fixtures and generated JSON."
Inputs,IN-004,Parsed scenario report cache,inputs/generated/scenario_report_scenarios.json,JSON,generated_cache,MRIO-direct scenario source,input,backend/api_service/scenario_report.py,scenario_package catalog/package builder and MRIO-direct adapter,Yes,Generated from DOCX and cached by SHA256,Backend + energy/MRIO analysts,Regenerated when DOCX SHA256 changes,source_file; source_sha256; scenario_ids[]; scenarios.{scenario_id}.geography_code; geography; scenario_type; label; description; target_years; summary; shock_categories; source_notes; calibration_notes,percentages; text notes; normalized numeric target proxies where parser can infer them,"scenario target years, commonly 2030 and 2050","report geography code, not necessarily Calliope location","A/Z structural shocks, E emissions proxy shocks, Y final-demand proxy shocks",Derived from Energy Modelling Scenario Report.docx,Not placeholder if parsed from report; heuristic interpretation still requires review,Cache SHA must match DOCX; must contain all expected scenario ids; malformed or missing scenarios should fail strict setup,Machine-readable bridge from narrative report to run-time MRIO-direct inputs.,Extraction is only as reliable as the DOCX structure and parser heuristics; numeric fields may encode text-derived targets.,backend/api_service/scenario_report.py; backend/api_service/scenario_package.py,IN-003; OUT-003; OUT-005; OUT-006,"scenario_ids=[ZA-S1,...,WM-S2]",Auto when DOCX changes,"After report edits, inspect this JSON and update parser rules if any key assumptions are missed."
Inputs,IN-005,Energy scenario metadata,inputs/scenario_metadata.csv,CSV,repo_static,Scenario catalog,input,Analyst/product team,backend/api_service/scenarios.py and frontend catalog UI,Yes for polished UI; energy keys can still originate from overrides,Manual table,Product + energy modeling,Static config,key; title; description; tags; user_label; policy_question; baseline_scenario; expected_tradeoff; demand_multiplier; renewables_capex_multiplier; fossil_fuel_price_multiplier; carbon_price_usd_per_tco2,lever multipliers; USD/tCO2,"scenario-level, no time series",global scenario metadata; applies to selected energy scenario,energy pathway metadata,Curated metadata aligned to Calliope overrides.yaml scenario keys,"May include illustrative labels, but not scientific model coefficients beyond preset levers",Keys should overlap Calliope overrides; lever values numeric if present; empty preset fields ignored,Controls how energy pathways are presented and can pre-populate lever defaults.,Mismatch with overrides hides or degrades scenario labeling.,backend/api_service/scenarios.py,IN-002; IN-006; OUT-001,key=new_links; title=New transmission links,When energy scenario catalog changes,Review policy question and expected tradeoff text for decision-maker clarity.
Inputs,IN-006,Lever mappings,inputs/lever_mappings.csv,CSV key/value table,repo_static,Energy adapter / runtime controls,input,Energy model team,backend/api_service/levers.py and runner override builder,Yes,Manual table,Energy modeling,Static config with occasional tuning,"key; value. Keys define renewables_techs, fossil_techs, demand technology selectors, and other lever-to-Calliope mapping values",dimensionless multipliers; technology names,"run target applies through scenario override, with time subset controlled by profile",applies to technologies/locations matched by Calliope selectors,Calliope technologies grouped as renewables/fossil/demand,Curated mapping from UI levers to Calliope tech/cost/resource fields,Not placeholder if selectors match current model; can silently under-apply if model names drift,Must parse as key/value; referenced tech selectors should exist in merged Calliope tech library,"Determines how user levers become runtime override patches, including demand multiplier and cost/fuel/carbon price controls.",High impact: stale mappings can make UI levers appear active while not changing model behavior.,backend/api_service/levers.py; backend/api_service/runner.py,OUT-002; OUT-007,renewables_techs=PV|Wind; fossil_techs=Coal|Gas,When Calliope technologies or controls change,Energy expert should verify selectors after every Calliope model library update.
Inputs,IN-007,Development model configuration,inputs/development_model.csv,CSV key/value table,repo_static,Development/MRIO runtime,input,Development economics/MRIO team,runner development output builders,Yes for calibrated runs; built-in defaults exist but should be expert reviewed,Manual table,MRIO/development experts,Static calibration config,"parameter; value. Nested dotted keys can override surrogate, mario, and mario_direct config values","dimensionless shares, sensitivities, relative uncertainty bounds, ratios",run-level; uncertainty and heuristic scale apply to target run,"global configuration, applied to all regions unless parameter-specific logic says otherwise","MRIO-direct, surrogate and runtime calibration parameters",Expert calibration file layered over backend defaults,May still include default/proxy coefficients if not expert-calibrated,Values must be parseable numbers or structured keys accepted by loader; strict validation surfaces placeholder problems in related MARIO inputs,"Controls fallback/surrogate coefficients, MARIO uncertainty bounds, and MRIO-direct heuristic scale/capping.","If unreviewed, model quality should not be interpreted as production-grade even if software runs.",backend/api_service/runner.py,OUT-005; OUT-018; OUT-019; OUT-033,mario_direct.structural_reallocation_bridge_scale=0.25,When calibration changes,Development/MRIO expert should replace default coefficients with documented empirical sources.
Inputs,IN-008,Scenario geography mapping,inputs/scenario_geography_mapping.csv,CSV,repo_static,Geography alignment,input,GIS/energy/MRIO team,scenario_package.build_geography_alignment,Yes,Manual mapping table,GIS + energy/MRIO experts,Static mapping updated when geographies change,mrio_geography_code; calliope_country_code; calliope_location; alignment_level; notes,codes and text,scenario-level,"MRIO geography to Calliope country/location, including national-to-subnational fan-out and regional-to-country/location fan-out",not sector-specific,Curated alignment contract between report/MRIO and Calliope model locations,Not placeholder if reviewed; currently critical for regional filter correctness,National MRIO may fan out to Calliope subnational groups; regional MRIO may fan out to mapped countries/locations; blocking only when both sides have incompatible subnational groupings without mapping,Determines where MRIO-direct assumptions apply relative to energy model locations.,Incorrect mapping causes apparently precise regional outputs to be allocated to wrong places.,backend/api_service/scenario_package.py,OUT-004; OUT-001; OUT-030,mrio_geography_code=ZA; calliope_country_code=ZAF; calliope_location=ZAF_*,When model/report geographies change,GIS and model experts should audit every mapping row and notes field.
Inputs,IN-009,Calliope model root,Calliope-Africa-main/model.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope model factory via runner,Yes,Manual/model-source file,Energy modeling,Versioned model source,Calliope model imports; run settings; model time; locations/tech/carriers references,Calliope-native units across imported files,model time horizon and subset_time profile controls,Africa model locations/power pools from imported YAML,all Calliope technologies and carriers,Calliope-Africa model source,Not placeholder by itself; imported data may require expert review,Must be parseable by installed Calliope version; imports must resolve inside Calliope root,Top-level model contract for optimization. Runtime overrides patch it but should not mutate source.,Calliope version compatibility is a risk; model units must be interpreted from Calliope config.,backend/api_service/runner.py,IN-010 to IN-026; OUT-008; OUT-009,"import: overrides.yaml, technology files, pool constraints",When model structure changes,Energy modeler should maintain imports and units documentation.
Inputs,IN-010,Calliope energy scenario overrides,Calliope-Africa-main/overrides.yaml,YAML,repo_static,Energy scenario catalog,input,Energy model team,scenario catalog and Calliope model build,Yes,Manual/model-source file,Energy modeling,Versioned scenario source,scenarios.<energy_scenario_key> override definitions,Calliope-native units,"scenario-level, can alter time/model settings",Calliope locations and techs referenced by scenario,scenario-specific tech/location constraints,Calliope-Africa model source,Not placeholder if scenario definitions are reviewed,Scenario keys must be loadable; selected energy_scenario_key must exist,Defines the energy pathway side of the integrated package.,Scenario names and metadata must remain synchronized with inputs/scenario_metadata.csv.,backend/api_service/scenarios.py; backend/api_service/runner.py,IN-005; OUT-001; OUT-002,new_links; baseline; policy-like override keys,When energy scenarios change,Energy modeler should document each scenario’s physical/policy meaning.
