mario_region,mario_sector,jobs_per_musd_direct,jobs_per_musd_total,reference_year,source,notes
Central_Africa,Construction,6.05,10.78,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Construction_of_power_assets,6.38,11.22,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Electrical_equipment,4.51,8.14,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Transmission_and_distribution,4.40,7.70,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Electricity_and_heat,2.97,5.39,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Coal_supply_chain,3.52,6.38,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Gas_supply_chain,2.64,4.73,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Oil_supply_chain,2.42,4.40,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Bioenergy_supply_chain,7.26,12.98,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Fuel_supply_chain,3.08,5.50,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Construction,6.32,11.27,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Construction_of_power_assets,6.67,11.73,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Electrical_equipment,4.71,8.51,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Transmission_and_distribution,4.60,8.05,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Electricity_and_heat,3.10,5.63,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Coal_supply_chain,3.68,6.67,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Gas_supply_chain,2.76,4.94,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Oil_supply_chain,2.53,4.60,2019,seeded_placeholder,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
