scenario_id,geography_code,geography_name,geography_type,scenario_code,scenario_type,label,description,target_years,renewable_share_2030,renewable_share_2030_numeric,renewable_share_2050,renewable_share_2050_numeric,fossil_delta_2030,fossil_delta_2030_numeric,net_zero_year,net_zero_year_numeric,shock_type,shock_category,parameter,target_2030,target_2050,implementation_notes,policy_sources,source_dataset
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,A/Z,Fossil electricity share,~10% → 0% by 2030 (aggressive),0% (complete phase-out),,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,A/Z,Renewable electricity share,88% → 100% by 2030,100% maintained,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,A/Z,Gas electricity coefficient,Reduce to 0 in A-matrix by 2030,0 (maintained),,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,A/Z,Oil electricity coefficient,Reduce to 0 in A-matrix by 2030,0 (maintained),,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,,Hydro + Wind + Solar,Proportional reallocation to 100%,Maintained at 100%,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,E,CO2 emission intensity (elec.),Reduce to near-zero by 2030,0 by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S1,BR,Brazil,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,100%,1.0,100%,1.0,-100%*,-1.0,2050,2050,Full,,Shock kind in MARIO,New Value = 0 (gas/oil electricity),New Value = 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,,Renewable electricity,"90% by 2030 (target, ~achieved)",95%+ by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,A/Z,Total renewable energy share,45–50% of primary energy by 2030,Climate neutral by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,E,GHG emissions target,-53% by 2030 vs. 2005,-59 to -67% by 2035; net-zero 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,,Deforestation (LULUCF),Zero illegal deforestation 2030,LULUCF carbon sink by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,,Industrial decarbonization,R$300B Nova Industria 2024-2026,Full hard-to-abate coverage,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,A/Z,Gas electricity coefficient,Reduce by ~80% by 2030,Reduce to ~0 by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
BR-S2,BR,Brazil,Country,S2,policy_target,National Policy Target,5. Rest of Africa (WF Region)1 5.1 Policy Context1,2030|2050,90%,0.9,95%+,0.95,-80%,-0.8,2050,2050,Policy,,Shock kind in MARIO,Percentage (electricity minor),New Value (LULUCF shock large),,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,A/Z,Fossil electricity share,50% → 25% by 2030,0% by 2070 (net-zero year),,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,A/Z,Renewable electricity share,50% → 75% by 2030,100% by 2070,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,A/Z,Coal A-matrix coefficient,Reduce by 25% (2030),Reduce to 0 (2070),,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,A/Z,Solar PV coefficient,Increase by +30%,Scale to 65% of total mix,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,A/Z,Wind coefficient,Increase by +15%,Scale to 25% of total mix,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,E,CO2 emission intensity,Reduce by ~45% (NDC target),Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
