mario_region,mario_sector,gva_per_musd_output,household_income_per_musd_output,reference_year,source,notes
Central_Africa,Construction,0.405,0.180,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Construction_of_power_assets,0.423,0.190,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Electrical_equipment,0.396,0.171,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Transmission_and_distribution,0.377,0.162,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Electricity_and_heat,0.331,0.133,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Coal_supply_chain,0.276,0.104,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Gas_supply_chain,0.267,0.104,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Oil_supply_chain,0.258,0.095,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Bioenergy_supply_chain,0.350,0.162,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Central_Africa,Fuel_supply_chain,0.285,0.114,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Construction,0.418,0.190,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Construction_of_power_assets,0.437,0.200,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Electrical_equipment,0.408,0.180,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Transmission_and_distribution,0.389,0.170,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Electricity_and_heat,0.342,0.140,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Coal_supply_chain,0.285,0.110,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Gas_supply_chain,0.275,0.110,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Oil_supply_chain,0.266,0.100,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Bioenergy_supply_chain,0.361,0.170,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
East_Africa,Fuel_supply_chain,0.294,0.120,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Construction,0.427,0.186,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Construction_of_power_assets,0.446,0.196,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Electrical_equipment,0.417,0.176,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Transmission_and_distribution,0.398,0.167,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Electricity_and_heat,0.349,0.137,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Coal_supply_chain,0.291,0.108,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Gas_supply_chain,0.281,0.108,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Oil_supply_chain,0.272,0.098,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Bioenergy_supply_chain,0.369,0.167,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
West_Africa,Fuel_supply_chain,0.301,0.118,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Construction,0.462,0.194,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Construction_of_power_assets,0.483,0.204,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
